nct_id,title,phase,condition,endpoint_1,endpoint_2,endpoint_3
NCT02275286,Trabectedin Plus Radiotherapy in Soft Tissue Sarcoma Patients,PHASE1,"Liposarcoma, Myxoid",,,
NCT03871686,Promotion of Well-being of Young Adult Brain Cancer Survivors,NA,"Brain Tumor, Pediatric","the effectiveness of an Internet-based, behavioral activation intervention to promote well-being in a young adult survivors of childhood brain tumor",,
NCT05631886,Combination of CAR-DC Vaccine and ICIs in Malignant Tumors,PHASE1,"Solid Tumor, Adult",to: assess the safety and antitumor effects of TP53-EphA-2-CAR-DC vaccine,"the safety, efficacy and immune response of autologous EphA2-targeting CAR-DC vaccine loaded with TP53 mutant peptide (TP53-EphA-2-CAR-DC) in combination with ICIs",
NCT05287386,A Single-Arm Phase II Clinical Study of Pemigatinib in the Treatment of Advanced Non-Small Cell Lung Cancer Patients With FGFR Alterations Who Have Failed Standard Therapy,PHASE2,Advanced Non-Small Cell Lung Cancer,,,
NCT00001586,Treatment of Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL/SLL): DNA Microarray Gene Expression Analysis,PHASE2,Chronic Lymphocytic Leukemia,-To gain further knowledge about CLL/SLL and the role of rituximab and fludarabine in treating the disease,,
NCT04303286,The Effect of Gut Microbiota on Postoperative Liver Function Recovery in Patients With Hepatocellular Carcinoma,,Gut Microbiota,,,
NCT06376786,Italian iTTP Registry,,TTP - Thrombotic Thrombocytopenic Purpura,"ed at better defining and understanding the natural history, disease severity, and clinical outcomes of patients with immune-mediated thrombotic thrombocytopenic purpura (iTTP) in Italy",,
NCT01720186,Evaluation of a Pneumotachograph (SPI) for the Production of PET and CT Acquisitions Synchronized With Breath for the Assessment of Extension of Lung Cancer,NA,Non Small Cell Lung Cancer,the acceptability and performance of the experimental medical device (SPI) used during an imaging examination (PET / CT 4D imaging in synchronized mode centered on the thorax),,
NCT06371586,Neo-Sequence 2：NCT Plus Anti-angiogenesis Therapy and Immunotherapy for LADGC,PHASE2,Gastric Cancer,,,
NCT03992170,Study of Daratumumab in Multiple Myeloma (MM) Patients in >VGPR/MRD-positive,PHASE2,Myeloma Multiple,"of this study is to evaluate Daratumumab effect on MRD-positive patients with Multiple Myeloma (MM) who achieved \>VGPR after any therapy (ASCT, VMP, Rev-Dex)","Daratumumab effect on MRD-positive patients with Multiple Myeloma (MM) who achieved \>VGPR after any therapy (ASCT, VMP, Rev-Dex)",
NCT04405570,"Safety, Tolerability and Efficacy of Molnupiravir (EIDD-2801) to Eliminate Infectious Virus Detection in Persons With COVID-19",PHASE2,"SARS-CoV-2 Infection, COVID-19",,,
NCT00017173,"S0011, Gene Therapy & Surgery Followed by Chemo & RT in Newly Diagnosed Cancer of the Mouth or Throat",PHASE2,Head and Neck Cancer,,,
NCT03560973,"A Double Blind, Placebo Controlled, Randomized Phase II Study Evaluating Gemcitabine With or Without Ramucirumab , for II Line Treatment MPM",PHASE2,Mesothelioma,,,
NCT05884073,Exercise for Oncology Care Professionals,NA,"Burnout, Caregiver","the feasibility and acceptability, and impact of a 12-week exercise intervention on oncology care provider burnout",,
NCT04566783,Identification of Etiopathological and Clinical Factors in Persistent Genital Arousal Disorder,,Restless Genital Syndrome,,,
NCT04874883,Effect of the Use of Symbiotics in Patients With Colon Cancer,PHASE4,Symbiotic,"ing at the adequate infusion of enteral diets and, consequently, nutritional needs",the impact of perioperative supplementation with symbiotic on clinical outcomes and intestinal function of patients with colon cancer and digestive airways undergoing colorectal resection,
NCT05673083,Impact of a Health Technology Intervention on Patient Activation in Multiple Myeloma,,Multiple Myeloma in Relapse,patient activation,the impact of All4Cure enrollment on patients with multiple myeloma,
NCT00512083,Phase II Study of AS1411 Combined With Cytarabine to Treat Acute Myeloid Leukemia,PHASE2,"Leukemia, Myeloid","of this study is to assess the efficacy and safety of AS1411, over a range of doses, when combined with cytarabine, in the treatment of patients with primary refractory or relapsed acute myeloid leukemia (AML)","the efficacy and safety of AS1411, over a range of doses, when combined with cytarabine, in the treatment of patients with primary refractory or relapsed acute myeloid leukemia (AML)",
NCT02320383,CLLR3: Bendamustine + GA101 (BG) in Relapsed or Refractory CLL Followed by GA101 Maintenance for Responding Patients,PHASE2,Chronic Lymphocytic Leucemia,,,
NCT04011969,The Role of Gut Microbiome and Chronic Inflammation in Young-onset Colorectal Cancer,,Colorectal Cancer,to investigate the role of gut microbiome pattern and inflammation marker NF-ҡB in young-onset colorectal cancer,,
NCT00396383,Treatment With AMD3100 (Plerixafor) in MM Patients to Mobilize PBCs For Collection and for Transplantation,PHASE2,Multiple Myeloma,,,
NCT07214883,UCF MammoChat: Image Repository,,Breast Cancer,"to develop AI models to better read diagnostic mammograms for various populations and types of breast cancer, using the images that participants donate and their responses from study questionnaire to improve patient outcomes",,
NCT06325683,Anti-Lag-3 (Relatlimab) and Anti-PD-1 Blockade (Nivolumab) Versus Standard of Care (Lomustine) for the Treatment of Patients With Recurrent Glioblastoma,PHASE2,Progressive Glioblastoma,,,
NCT03518554,"A First in Human, Dose Escalation Study of JAB-3068 （SHP2 Inhibitor） in Adult Patients With Advanced Solid Tumors",PHASE1,Non-small Cell Lung Cancer,"the safety, tolerability, pharmacokinetics, and preliminary evidence of antitumor activity of JAB-3068 in adult patients with advanced solid",,
NCT04588454,18F-PSMA PET/CT for Visualization of Glioblastoma Multiforme,NA,Glioblastoma Multiforme,uptake of PET tracer 18F-PSMA-1007 in primary glioblastoma,,
NCT02139605,"""Phase III Randomized Trial Comparing D2 vs D3 Lymphadenectomy With Gastric Cancer Following Neoadjuvant Chemotherapy",NA,Gastric Cancer,,,
NCT04465305,A Randomized Controlled Study on the Treatment of Sacral Canal Cysts With Sacral Canal Reinforcement,NA,Tarlov Cysts,"the safety of nerve root sleeve reconstruction and sacroplasty in reducing the safety of postoperative cyst recurrence Sex and effectiveness, so as to further improve the surgical treatment of sacral canal cysts, improve the curative effect, and formulate the operation specifications for the treatment of sacral canal cyst",,
NCT02131805,Electronic Skin Surface Brachytherapy for Cutaneous Basal Cell and Squamous Cell Carcinoma,NA,Cutaneous Basal Cell,the effectiveness of electronic skin surface brachytherapy (ESSB) for early stage basal or squamous cell carcinoma of the skin using a new device,,
NCT03887494,"Study of the Impact of the Femoral Implant ""Y-strut"" on Lytic Bone Metastases of the Femoral Neck (WAZA-ARY)",NA,"Neoplasms, Bone Tissue",,,
NCT01481194,ACVDL Treatment for Patients With Newly Diagnosed Multiple Myeloma,PHASE2,Multiple Myeloma,"the efficacy and safety of the combination treatment of doxorubicin, cyclophosphamide, bortezomib, dexamethasone, and lenalidomide in newly diagnosed multiple myeloma patients",,
NCT01804166,A Research Study to Bank Samples for Future Evaluation to Identify Biomarkers That Predispose Crohn's Disease and Ulcerative Colitis Patients to Develop Hepatosplenic T-Cell Lymphoma (HSTCL),PHASE4,Hepatosplenic T-Cell Lymphoma,,,
NCT02343666,HIV-Resistant Gene Modified Stem Cells and Chemotherapy in Treating Patients With Lymphoma With HIV Infection,PHASE1,Human Immunodeficiency Virus 1 Positive,,,
NCT00430066,Effects of Imatinib Mesylate in Polycythemia Vera,PHASE2,Polycythemia Vera,how the disease is responding to the drug,"the activity of Glivec 400 mg po daily, as single agent, in inducing a haematological response in Polycythemia Vera",
NCT01830166,Focal Therapy for Prostate Cancer - A Pilot Study of Focal Low Dose Rate Brachytherapy,NA,Prostate Cancer,"the long term use of multi-modal, multi-parametric prostate cancer imaging, combining data from MRI, ultrasound and 11C-choline PET/CT",the extent of cancer and suitable treatments,
NCT00001466,Study of Clinical and Molecular Manifestations of Genetic Disorders,,Hereditary Diseases,,,
NCT02958566,Multimodal Narcotic Limited Perioperative Pain Control With Colorectal Surgery,PHASE4,Colon Cancer,of this study is to investigate the cost and efficacy of treating patients undergoing colorectal surgical resections with an opioid limited pain control regimen as part of an Enhanced Recovery After Surgery (ERAS) Protocol,treating patients undergoing colorectal surgical resections with an opioid limited pain control regimen as part of an Enhanced Recovery After Surgery (ERAS) Protocol,
NCT06379256,Evaluation of Immune Responses and Outcomes in Patients With Hepatocellular Carcinoma Undergoing Radiotherapy,,Hepatocellular Carcinoma,"to prospectively assess immunological responses and dose-volumetric parameters, while identifying predictors of clinical outcomes in patients undergoing definitive radiotherapy for hepatocellular carcinoma",,
NCT01077856,GARDASIL™ Vaccine Impact in Population Study (V501-033),,Human Papillomavirus Infections,the impact of GARDASIL™ human papillomavirus (HPV) vaccine in the general female population by utilizing nationwide registry databases in the participating Nordic countries,,
NCT03494322,EACH: Evaluating Avelumab in Combination With Cetuximab in Head and Neck Cancer,PHASE2,Head and Neck Cancer,to see if giving cetuximab along with an immune checkpoint inhibitor drug called avelumab is better at treating advanced H\&N cancer than giving avelumab on its own,,
NCT02956122,A Phase 2/3 Study of GLASSIA for the Treatment of Acute GvHD,PHASE2,Graft Versus Host Disease,the safety and efficacy of GLASSIA as an add-on biopharmacotherapy to standard-of-care steroid treatment as the first-line treatment in participants with acute GvHD with lower GI involvement,GLASSIA as an add-on biopharmacotherapy to standard-of-care steroid treatment as the first-line treatment in participants with acute GvHD with lower GI involvement,
NCT04137822,Expanded Access Program Using IMM-101 for Patients With Advanced Pancreatic Cancer,,Pancreas Cancer,,,
NCT06781151,A Study to Explore Personalized Treatment for Patients With Recurrent Gynecological Malignancies Based on MTB,,Ovarian Cancer Recurrent,to observe and evaluate the clinical efficacy of personalized treatment plans developed through molecular tumor profiling and multidisciplinary consultation,molecular tumor profiles,personalized targeted therapies guided by molecular tumor profiling and multidisciplinary consultation
NCT06333951,AMG 193 Alone or in Combination With Other Therapies in Subjects With Advanced Thoracic Tumors With Homozygous MTAP-deletion (Master Protocol) (MTAPESTRY 104).,PHASE1,Thoracic Tumors,to determine maximum tolerated dose (MTD) or recommended combination dose of the MTA-cooperative PRMT5 inhibitor AMG 193 administered in combination with other therapies in adult participants with metastatic or locally advanced methylthioadenosine phosphorylase (MTAP)-deleted thoracic tumors,maximum tolerated dose (MTD) or recommended combination dose of the MTA-cooperative PRMT5 inhibitor AMG 193 administered in combination with other therapies in adult participants with metastatic or locally advanced methylthioadenosine phosphorylase (MTAP)-deleted thoracic tumors,
NCT00467129,Genes That Affect Disease Outcome in Patients With Metastatic Colorectal Cancer,,Colorectal Cancer,,,
NCT01865929,Minimally Invasive Benign Hysterectomy,NA,Menorrhagia,,,
NCT01895829,Ferumoxytol - Iron Oxide Nanoparticle Magnetic Resonance Dynamic Contrast Enhanced MRI,EARLY_PHASE1,Head and Neck Cancer,,,
NCT00084929,The National CT Colonography Trial,NA,Colorectal Cancer,,,
NCT03775031,Chemical Peels and Fractional Laser on IGF-1 Levels in Skin,NA,Skin Cancer,the impact of fractional laser versus chemical peels on IGF-1 levels in skin,,
NCT06425302,A Study to Evaluate the Efficacy and Safety of Golcadomide in Combination With Rituximab in Participants With Newly Diagnosed Advanced Stage Follicular Lymphoma,PHASE2,"Lymphoma, Follicular",the efficacy and safety of golcadomide in combination with rituximab in participants with newly diagnosed advanced stage Follicular Lymphoma (FL),,
NCT06832202,"A Phase II Study of HLX22 in Combination With Trastuzumab Deruxtecan in HER2-low, Hormone Receptor Positive Locally Advanced or Metastatic Breast Cancer Patients",PHASE2,HER2-low Hormone Receptor Positive Breast Cancer,,,
NCT01386502,CT-011 and p53 Genetic Vaccine for Advanced Solid Tumors,PHASE1,Breast Cancer,\- To test the safety and effectiveness of CT-011 and the p53 genetic vaccine to treat adults with solid tumors that have not responded to standard treatments,,
NCT00004002,PS-341 in Treating Patients With Advanced Solid Tumors or Lymphoma,PHASE1,Lymphoma,,,
NCT03977753,"Randomized, Placebo-controlled, Double Blind Study to Evaluate the Efficacy of 2LVERU®JUNIOR and 2LVERU® on the Treatment of Warts",PHASE4,Common Wart,the treatment on the disappearance of warts at the end of treatment (6-month visit) between the 2LVERU® JUNIOR and 2LVERU® versus the placebo group,,
NCT05996653,CEST in Low-grade Glioma Study,NA,Low-grade Glioma,to predict early changes in LGG,LGG tumour progression and aims to predict early changes in LGG,
NCT04683653,Study of Pelvic Hypofractionated Radiotherapy in Endometrial Cancer,PHASE1,Endometrial Cancer,,,
NCT03986437,A Prospective Study to Collect Images in Patients Treated With Iodine-131 as Part of a European Research Project in Radiation Protection.,,Differentiated Thyroid Cancer,ing to collect standard of care imaging of patients treated with Iodine-131 for the determination of dosimetric studies,,
NCT04418245,CT Biomarkers Identification by Artificial Intelligence for COVID-19 Prognosis,,Covid-19,,,
NCT00436072,"ZD6474, Cetuximab, and Irinotecan in Patients With Metastatic Colorectal Cancer",PHASE1,Colorectal Cancer,,,
NCT05152472,"A Prospective, Randomized, Multicenter, Comparative Study of the Efficacy of Imatinib Resumption Combined with Atezolizumab Versus Imatinib Resumption Alone in Patients with Unresectable Advanced Gastrointestinal Stromal Tumors (GIST) After Failure of Standard Treatments",PHASE2,Unresectable Gastrointestinal Stromal Tumor (GIST),,,
NCT04622072,XZP-5809-TT1 Tablets in Patients With T790M Mutation-positive Locally Advanced or Metastatic Non-small Cell Lung Cancer,PHASE1,Non Small Cell Lung Cancer,response rate (ORR) in patients With T790M Mutation-positive Locally Advanced or Metastatic Non-small Cell Lung Cancer,"safety and tolerability of XZP-5809-TT1 tablets after treatment with epidermal growth factor receptor tyrosine kinase inhibitor (EGFR-TKI) in patients With T790M Mutation-positive Locally Advanced or Metastatic Non-small Cell Lung Cancer, and to determine the maximum tolerated dose (MTD) and dose-limiting toxicity (DLT)",the maximum tolerated dose (MTD) and dose-limiting toxicity (DLT)
NCT04994795,Predictive Multimodal Signatures Associated With Response to Treatment and Prognosis of Patients With Stage IV Non-small Cell Lung Cancer,,Non-small Cell Lung Cancer Metastatic,,,
NCT00569595,Improving Health Habits in Impoverished Populations,PHASE3,Diabetes,,,
NCT03307395,Middle Meningeal Artery Embolization for Treatment of Chronic Subdural Hematoma,NA,Chronic Subdural Hematoma,"the safety and efficacy of MMA embolization compared to traditional surgical management for symptomatic, chronic, and medically refractory SDH","MMA embolization compared to traditional surgical management for symptomatic, chronic, and medically refractory SDH",
NCT00858039,Cardiotoxicity of Adjuvant Trastuzumab,,Breast Neoplasms,of this study is to evaluate the utility of NT pro-BNP as a predictive biomarker for the development of trastuzumab related cardiotoxicity (TRC),the utility of NT pro-BNP as a predictive biomarker for the development of trastuzumab related cardiotoxicity (TRC),
NCT01888939,Effects of Interrupting Sedentary Behavior on Metabolic and Cognitive Outcomes in Children,PHASE1,Healthy Volunteer,\- To understand if breaking up sitting with walking helps children s bodies better use sugars and improves children s concentration,,
NCT02867839,Adjuvant Chemotherapy With S-1 Plus Oxaliplatin Versus S-1 Alone in Locally Advanced Gastric Cancer,PHASE3,Gastric Cancer,the efficacy and safety of S-1 plus Oxaliplatin versus S-1 only as adjuvant chemotherapy after curative distal gastrectomy in patients with locally advanced gastric cancer,,
NCT00431639,Effects of Pet Therapy on Pain in Cancer Patients,PHASE2,Cancer,,,
NCT00195039,Treatment With Radiolabeled Monoclonal Antibody HuJ591-GS (177Lu-J591) in Patients With Metastatic Prostate Cancer,PHASE2,Prostate Cancer,,,
NCT03433313,Efficacy and Safety Study of EG12014 Compared With Herceptin in Subjects With HER2 Positive Early Breast Cancer,PHASE3,Breast Cancer,,,
NCT06429813,Remotely Monitored Exercise Interventions in Patients with MCSPC Undergoing ADT (Prostate 006),NA,Castrate Sensitive Prostate Cancer,,,
NCT02713113,Efficacy of Low Dose Sugammadex in Reversal of NMB in Laparoscopic Barbaric Surgery,PHASE3,Bariatric Patients,ed to compare the efficacy and safety of sugammadex at doses of 1,,
NCT02935920,A Study on Optimizing Follow-up for Postmenopausal Women With Breast Cancer Treated With Adjuvant Endocrine Therapy,NA,Breast Cancer,Evaluation of the experience and feasibility of PRO data in connection with individualized follow-up of postmenopausal women with breast cancer,the patient's need for consultations,
NCT06486220,"PFLL Combined With PD-1 Antibody With or Without FMT for Oligometastatic NPC,a Phase III ,Open, Randomized Clinical Trial.",PHASE3,Nasopharyngeal Carcinoma,"low-dose long term 5-FU pumping (""old fire soup"") therapy combined with immunotherapy and reduce the occurrence of toxic side effects in patients with metastatic nasopharyngeal carcinoma",,
NCT05010720,Prevelance of Frailty and Its Associated Factors in Patients With Axial Spondyloarthritis,,Frailty,"of our study was to investigate the prevalence of frailty and the relationship between frailty and disease activity, physical functional level, quality of life and other associated factors in individuals with Axial Spondyloarthritis",,
NCT03435120,Quality of Life Study Breakthrough Cancer Pain Treated in Medical Oncology Services (CAVIDIOM),,Breakthrough Pain,the quality of life of cancer patients with breakthrough cancer pain treated in medical oncology services in Spanish hospitals,,
NCT03525782,Anti-MUC1 CAR T Cells and PD-1 Knockout Engineered T Cells for NSCLC,PHASE1,Lung Neoplasm Malignant,the safety and efficacy of the anti-MUC1 CAR T cells and /or PD-1 knockout engineered T cells for patients with advanced non-small cell lung cancer,the anti-MUC1 CAR T cells and /or PD-1 knockout engineered T cells for patients with advanced non-small cell lung cancer,
NCT00022282,AE-941 in Treating Patients With Relapsed or Refractory Multiple Myeloma,PHASE2,Multiple Myeloma and Plasma Cell Neoplasm,,,
NCT01312324,Neoadjuvant Chemotherapy for Locally Advanced Thymic Cancer,PHASE2,Locally Advanced Stage III or IV Thymic Cancer,whether neoadjuvant docetaxel plus cisplatin can increase the complete resection rate in advanced thymic carcinoma,,
NCT01071824,Comparison of Limb Size of Transverse Coloplasty Pouch,NA,Colon Cancer,of the study is the comparison of pouch function with two different sizes of limb of transverse coloplasty pouch after rectal resection and total mesorectal excision,,
NCT06160323,Upfront EUS CGN/CPN vs Conventional Step up Approach for Inoperable Painful Pancreatic Cancer,NA,Pancreatic Cancer Non-resectable,,,
NCT00918723,"Vorinostat, Fludarabine Phosphate, Cyclophosphamide, and Rituximab in Treating Patients With Previously Untreated Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma",PHASE1,Chronic Lymphocytic Leukemia,,,
NCT01723423,Mastectomy Reconstruction Outcomes Consortium (MROC) Study,,Breast Cancer,and compare from the patient's point of view the leading options for breast reconstruction after mastectomy,,
NCT07105059,A Study of Teclistamab and Mezigdomide in People With Multiple Myeloma,PHASE1,Multiple Myeloma,,,
NCT05554380,"Study of Chemotherapy Plus Ipatasertib for People With Solid Tumors With PTEN/AKT Mutations, A ComboMATCH Treatment Trial",PHASE2,Locally Advanced Malignant Solid Neoplasm,,,
NCT03244059,Belimumab Treatment of Emphysema Patients With Anti-GRP78 Autoantibodies,PHASE2,Chronic Obstructive Pulmonary Disease,effects of belimumab on levels of autoantibodies against glucose regulated protein 78 (GRP78) among patients with pulmonary emphysema attributable to cigarette smoking,,
NCT00827580,Eniluracil Hand Foot Syndrome,PHASE1,Breast Cancer,,,
NCT06191679,Decision Aid for Education and Support About Cancer Treatment,NA,Cancer,"DECIDES, a web-based decision support application that provides education about cancer and cancer treatment and provides support to encourage adolescent and young adult (AYA) patients, their caregivers, and oncology health care providers to make informed decisions about cancer treatment together",,
NCT06575296,Revumenib for the Treatment of Acute Leukemia in Patients Post-Allogeneic Stem Cell Transplant,PHASE1,Acute Leukemia,,,
NCT06533696,"A Comparison of Microscopy and Enzyme Linked Immunosorbent Assay for Diagnosis of Giardia Lamblia in Children, Sohag",,Giardia Lamblia Infection,the efficacy of Human anti Giardia lamblia antibody (ELISA) kitst in comparison to direct microscopy in the diagnosis of G,Human anti Giardia lamblia antibody (ELISA) kitst in comparison to direct microscopy in the diagnosis of G,
NCT02434562,Development and Validation of in Vitro Cell-based Bioassays for Nuclear Receptor Activation,,Hypogonadism,,,
NCT04873362,A Study Evaluating the Efficacy and Safety of Adjuvant Atezolizumab or Placebo and Trastuzumab Emtansine for Participants With HER2-Positive Breast Cancer at High Risk of Recurrence Following Preoperative Therapy,PHASE3,Breast Cancer,,,
NCT04329962,Metabolism and Absorption of Anthocyanins From Extract and Whole Blueberry Powder Confections in Healthy Adults,NA,Healthy Diet,,,
NCT04176562,Prospective SPINE Registry,,Sacroiliac; Fusion,,,
NCT00364962,Treatment Result of KTP Laser Nasopharyngectomy in Recurrent NPC Patients,,Recurrent,,,
NCT02701088,"Study of SIB-IMRT in Combination With 5-FU and Mitomycin-C Among Patients With Locally Advanced Anal Canal Cancer: Efficacy, Safety and Quality of Life",PHASE2,Locally Advanced Anal Canal Cancer,,,
NCT01931488,124I-MIBG Tracer Evaluation of Myocardial Sympathetic Denervation and Assessment of Neuroendocrine Tumors.,PHASE2,Parkinson Disease,,,
NCT01612988,"Treatment With Bendamustine, Ofatumumab and MethylPrednisolone in Relapsed B-CLL",PHASE2,B-cell Chronic Lymphocytic Leukemia (B-CLL),,,
NCT05156788,"Tislelizumab（Anti PD-1), Lenvatinib and GEMOX Transformation in the Treatment of Potentially Resectable, Locally Advanced Biliary Tract Cancer",PHASE2,Biliary Tract Cancer,of this study is to assess the R0 resection rate of tislelizumab combined with Lenvatinib and Gemox chemotherapy in the conversion therapy of potentially resectable locally advanced BTC,the R0 resection rate of tislelizumab combined with Lenvatinib and Gemox chemotherapy in the conversion therapy of potentially resectable locally advanced BTC,
NCT06951646,ctDNA-MRD Guided Escalation of Ivonescimab and Docetaxel in Advanced NSCLC With Long-Term Responses to First-line Immunotherapy (CR1STAL-Adaptive),PHASE2,Non Small Cell Lung Cancer,"the safety and efficacy of Ivonescimab (PD-1/VEGF bispecific antibody) combined with docetaxel versus standard treatment in patients with advanced NSCLC who have achieved long-term benefit from first-line immune checkpoint inhibitors (ICIs), but are ctDNA-MRD positive","Ivonescimab (PD-1/VEGF bispecific antibody) combined with docetaxel versus standard treatment in patients with advanced NSCLC who have achieved long-term benefit from first-line immune checkpoint inhibitors (ICIs), but are ctDNA-MRD positive",
NCT01738646,Ph II SAHA and Bevacizumab for Recurrent Malignant Glioma Patients,PHASE2,Recurrent Glioblastoma Multiforme,,,
NCT06196788,Transcatheter Arterial Infusion to Patients With Advanced Pancreatic Cancer,PHASE2,Pancreatic Cancer,the efficacy of gemcitabine and nab-paclitaxel venous injection plus transcatheter arterial infusion to Patients with Advanced Pancreatic Cancer,gemcitabine and nab-paclitaxel venous injection plus transcatheter arterial infusion to Patients with Advanced Pancreatic Cancer,
NCT06683703,Utidelone Injection Combined with Bevacizumab Injection for Non-small Cell Lung Cancer Patients with Brain Metastases,PHASE2,Non-small Cell Lung Cancer Patients with Brain Metastases,"of the first stage was to determine the combined dose of the first stage and the second stage, and to compare the intracranial efficacy of the two treatment groups","the intracranial efficacy of Utidelone combined with Bevacizumab in patients, and the secondary purpose was to evaluate the other intracranial efficacy, systemic efficacy, safety and tolerability of Utidelone combined with Bevacizumab in patients, and to explore the improvement of patients' quality of life","the combined dose of the first stage and the second stage, and to compare the intracranial efficacy of the two treatment groups"
NCT03227003,DNA Methylation and 1-C Metabolism Nutrient Intake,,DNA Methylation,,,
NCT04493203,Nivolumab Plus Axitinib in Patients With Anti-PD1 Refractory Advanced Melanoma,PHASE2,Advanced Melanoma,,,
NCT03931642,BLINAtumomab After R-CHOP Debulking Therapy for Patients With Richter Transformation,PHASE2,Richter Syndrome,"the efficacy, safety and tolerability of blinatumomab administered after R-CHOP debulking therapy in patients with Richter Syndrome (RS) of diffuse large B-cell lymphoma (DLBCL) histology",,
NCT00984542,Bendamustine as Second-Line Therapy in Treating Patients With Relapsed or Refractory Small Cell Lung Cancer,PHASE2,Lung Cancer,,,
NCT06479070,"Prognostic Value of Measuring CtDNA in a Cohort of Patients With Stage III and IV Upper Aero-digestive Tract (UADT) Cancer , Treated With Curative RADiOtherapy With or Without Concomitant Treatment.",NA,SCC - Squamous Cell Carcinoma,of this study is to evaluate the value of measuring the quantity of circulating tumor DNA (ctDNA) at 1 month post-treatment as a predictive factor for PFS at 24 months,the value of measuring the quantity of circulating tumor DNA (ctDNA) at 1 month post-treatment as a predictive factor for PFS at 24 months,
NCT03184870,A Study of BMS-813160 in Combination With Chemotherapy or Nivolumab in Participants With Advanced Solid Tumors,PHASE1,Colorectal Cancer,"the safety profile, tolerability, drug levels, drug effects, and preliminary efficacy of BMS-813160 alone or in combination with either chemotherapy or nivolumab or chemotherapy plus nivolumab in participants with metastatic colorectal and pancreatic cancers",BMS-813160 alone or in combination with either chemotherapy or nivolumab or chemotherapy plus nivolumab in participants with metastatic colorectal and pancreatic cancers,
NCT00002069,A Study of DTC in Patients With AIDS and AIDS Related Complex,NA,HIV Infections,if ditiocarb sodium (sodium diethyldithiocarbamate,,
NCT02834169,French National Registry of Rare Peritoneal Surface Malignancies,,Rare Peritoneal Surface Malignancies,at the collection of data from patients presenting with a rare peritoneal surface malignancy in France,"treatment strategies, the RENAPE registry aims at the collection of data from patients presenting with a rare peritoneal surface malignancy in France",
NCT00538473,Evaluate Safety and Immunogenicity of GSK Bio's Influenza Vaccine GSK576389A After Repeated Vaccination in Elderly Adults,PHASE2,Influenza,,,
NCT00899054,Safety and Efficacy Study of P276-00 in Combination With Radiation in Subjects With Advanced Head and Neck Cancer,PHASE1,Squamous Cell Carcinoma of Head and Neck,the combination in treatment of advanced head and neck cancer,,
NCT07000305,A Study of Cetuximabβ Combined With Envolimab and mFOLFOX6 in Subjects With Advanced Colorectal Cancer,PHASE2,Advanced Colorectal Cancer,,,
NCT04132505,Binimetinib and Hydroxychloroquine in Treating Patients With KRAS Mutant Metastatic Pancreatic Cancer,PHASE1,Metastatic Pancreatic Adenocarcinoma,,,
NCT03656705,CCCR-NK92 Cells Immunotherapy for Non-small Cell Lung Carcinoma,PHASE1,Non-small Cell Lung Cancer,the safety and effects of CCCR-modified NK92(CCCR-NK92)infusions in previously treated advanced non-small cell lung carcinoma(NSCLC),,
NCT00188305,A Randomized Trial of Cancer Risk and Health Education in Relatives of Colorectal Cancer Patients,PHASE3,Colon Cancer,of this study is to test the efficacy of two modes (in-person vs,two modes (in-person vs,
NCT02258594,"Promoting Respect and Ongoing Safety Through Patient-centeredness, Engagement, Communication and Technology",NA,Medical Intensive Care Unit (MICU) Patients,,,
NCT03579966,Long Term Safety Study of Amifampridine Phosphate in MuSK-MG (Muscle Specific Tyrosine Kinase Myasthenia Gravis),PHASE3,"Myasthenia Gravis, MuSK",,,
NCT06892756,"Effect of Cyclosporine Drug Interaction on the Absorption, Metabolism and Elimination of CHF6001 in Healthy Volunteers. Drug-Drug Interaction 2 (DDI2) Study",PHASE1,Chronic Obstructive Pulmonary Disease (COPD),"the potential effect of cyclosporine (probe inhibitor of P glycoprotein \[P-gp\] and breast cancer resistance protein \[BCRP\] transporters) on CHF6001 (Tanimilast) systemic exposure following single dose administration, by comparing the area under the curve (AUC) from time 0 to the last quantifiable concentration (AUC0 t) and the maximum plasma concentration (Cmax) of CHF6001 with and without cyclosporine",,
NCT01528956,Studying Genes in Samples From Younger Patients With Adrenocortical Tumor,,Adrenocortical Carcinoma,,,
NCT04960956,Glycosylation of Exosomes in Prostate and Urothelial Carcinoma,,Prostate Cancer,,,
NCT06437522,A Study of BL-B01D1+PD-1 Monoclonal Antibody in Patients With Recurrent or Metastatic Head and Neck Squamous Cell Carcinoma and Other Solid Tumors,PHASE2,Head and Neck Squamous Cell Carcinoma,,,
NCT02830451,Metastatic Tumor Research and Outcomes Network,,Metastatic Spine Tumor,"to collect patient information such as patient demographics, co-morbidities, clinical, diagnostic, and therapeutic data, as well as information on adverse events and HRQOL outcomes specific for patients with metastatic spine tumor(s)",,
NCT05232851,A Vaccine (PDS0101) Alone or in Combination With Pembrolizumab for the Treatment of Locally Advanced Human Papillomavirus-Associated Oropharynx Cancer,PHASE1,Clinical Stage III HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8,,,
NCT00283829,Immunotherapy After Chemotherapy for Patients With Hormone Refractory Metastatic Prostate Cancer,PHASE1,Prostate Cancer,,,
